Rule ID, Reason Code, Rule message, Reason message, Violation Level, Toolkit Level, WCAG Requirements, ACT mapping
"applet_alt_exists","Pass_0","<applet> elements must provide an 'alt' attribute and an alternative description","Rule Passed","Pass","1","1.1.1",""
"applet_alt_exists","Fail_1","<applet> elements must provide an 'alt' attribute and an alternative description","An <applet> element does not have an 'alt' attribute that provides a short text alternative","Violation","1","1.1.1",""
"applet_alt_exists","Fail_2","<applet> elements must provide an 'alt' attribute and an alternative description","The 'alt' attribute value for an <applet> element duplicates the 'code' attribute","Violation","1","1.1.1",""
"applet_alt_exists","Fail_3","<applet> elements must provide an 'alt' attribute and an alternative description","An <applet> element provides alternative text, but does not provide inner content","Violation","1","1.1.1",""
"img_alt_redundant","Pass_0","The text alternative for an image within a link should not repeat the link text or adjacent link text","Rule Passed","Pass","2","1.1.1,2.4.4",""
"img_alt_redundant","Fail_1","The text alternative for an image within a link should not repeat the link text or adjacent link text","Link text is repeated in an image 'alt' value within the same link","Violation","2","1.1.1,2.4.4",""
"img_alt_redundant","Fail_2","The text alternative for an image within a link should not repeat the link text or adjacent link text","Link text of previous link is repeated in image 'alt' value of a link","Violation","2","1.1.1,2.4.4",""
"img_alt_redundant","Fail_3","The text alternative for an image within a link should not repeat the link text or adjacent link text","Image 'alt' value within a link is repeated in link text of the link after","Violation","2","1.1.1,2.4.4",""
"img_alt_valid","pass","Images must have accessible names unless they are decorative or redundant","The image has an accessible name or is correctly marked as decorative or redundant","Pass","1","1.1.1","23a2a8:pass"
"img_alt_valid","fail_blank_alt","Images must have accessible names unless they are decorative or redundant","Image 'alt' attribute value consists only of blank space(s)","Violation","1","1.1.1","23a2a8:fail"
"img_alt_valid","fail_no_alt","Images must have accessible names unless they are decorative or redundant","The image has neither an accessible name nor is marked as decorative or redundant","Violation","1","1.1.1","23a2a8:fail"
"img_alt_valid","fail_blank_title","Images must have accessible names unless they are decorative or redundant","The image does not have an 'alt' attribute or ARIA label, and the 'title' attribute value consists only of blank space(s)","Violation","1","1.1.1","23a2a8:fail"
"imagebutton_alt_exists","Pass_0","The <input> element of type ""image"" should have a text alternative","Image button provides alternative text using the 'alt' attribute","Pass","1","1.1.1","59796f:pass"
"imagebutton_alt_exists","Pass_1","The <input> element of type ""image"" should have a text alternative","Image button provides alternative text using an ARIA label","Pass","1","1.1.1","59796f:pass"
"imagebutton_alt_exists","Pass_2","The <input> element of type ""image"" should have a text alternative","Image button provides alternative text using the 'title' attribute","Pass","1","1.1.1","59796f:pass"
"imagebutton_alt_exists","Fail","The <input> element of type ""image"" should have a text alternative","The <input> element of type ""image"" has no text alternative","Violation","1","1.1.1","59796f:fail"
"area_alt_exists","Pass_0","<area> elements in an image map must have a text alternative","Rule Passed","Pass","1","1.1.1",""
"area_alt_exists","Fail_1","<area> elements in an image map must have a text alternative","<area> element in an image map has no text alternative","Violation","1","1.1.1",""
"imagemap_alt_exists","Pass_0","An image map and each <area> element in an image map must have text alternative(s)","Rule Passed","Pass","1","1.1.1",""
"imagemap_alt_exists","Fail_1","An image map and each <area> element in an image map must have text alternative(s)","Image map or child <area> has no text alternative","Violation","1","1.1.1",""
"img_alt_decorative","Pass_0","Image designated as decorative must have 'alt=""""","Rule Passed","Pass","1","1.1.1",""
"img_alt_decorative","Fail_1","Image designated as decorative must have 'alt=""""","Image designated as decorative has non-null 'alt' attribute","Violation","1","1.1.1",""
"object_text_exists","pass","<object> element must have a text alternative for the content rendered by the object","<object> element has a text alternative","Pass","1","1.1.1","8fc3b6:pass"
"object_text_exists","fail_no_text_alternative","<object> element must have a text alternative for the content rendered by the object","An <object> element does not have a text alternative","Violation","1","1.1.1","8fc3b6:fail"
"svg_graphics_labelled","pass","A non-decorative SVG element must have an accessible name","The SVG element has an accessible name","Pass","1","1.1.1","7d6734:pass"
"svg_graphics_labelled","fail_acc_name","A non-decorative SVG element must have an accessible name","The SVG element has no accessible name","Violation","1","1.1.1","7d6734:fail"
"img_alt_null","fail_decorative","When the intent is to mark an image as decorative with an empty 'alt' attribute, the 'aria' or 'title' attributes should not be used","The image 'alt' attribute is empty, but the 'title' attribute is not empty","Violation | Violation","1 | 1","1.1.1 | ARIA",""
"application_content_accessible","Pass_0","Non-decorative static text and image content within an element with ""application"" role must be accessible","Rule Passed","Pass","1","1.1.1,2.1.1",""
"application_content_accessible","Potential_1","Non-decorative static text and image content within an element with ""application"" role must be accessible","Verify that the non-decorative static text and image content within an element with ""application"" role are accessible","Violation Potential","1","1.1.1,2.1.1",""
"img_alt_misuse","Pass_0","'alt' attribute value must be a good inline replacement for the image","Rule Passed","Pass","1","1.1.1",""
"img_alt_misuse","Potential_1","'alt' attribute value must be a good inline replacement for the image","Verify that the file name serves as a good inline replacement for the image","Violation Potential","1","1.1.1",""
"img_ismap_misuse","Pass_0","Server-side image map hot-spots must have duplicate text links","Rule Passed","Pass","2","1.1.1",""
"img_ismap_misuse","Potential_1","Server-side image map hot-spots must have duplicate text links","Server-side image map hot-spots do not have duplicate text links","Violation Potential","2","1.1.1",""
"img_longdesc_misuse","Pass_0"," The 'longdesc' attribute must reference HTML content","Rule Passed","Pass","1","1.1.1",""
"img_longdesc_misuse","Potential_1"," The 'longdesc' attribute must reference HTML content","Verify that the file designated by the 'longdesc' attribute contains valid HTML content (file extension not recognized)","Violation Potential","1","1.1.1",""
"media_alt_exists","Pass_0","Audio or video on the page must have a short text alternative that describes the media content","Rule Passed","Pass","2","1.1.1",""
"media_alt_exists","Potential_1","Audio or video on the page must have a short text alternative that describes the media content","Filename used as label for embedded audio or video","Violation Potential","2","1.1.1",""
"style_background_decorative","Pass_0","Images included by using CSS alone must not convey important information","Rule Passed","Pass","1","1.1.1",""
"style_background_decorative","Potential_1","Images included by using CSS alone must not convey important information","Verify the CSS background image does not convey important information","Violation Potential","1","1.1.1",""
"style_highcontrast_visible","Pass_0","Windows high contrast mode must be supported when using CSS to include, position or alter non-decorative content","Rule Passed","Pass | Pass","1 | 1","1.1.1,1.3.2,1.4.11 | 1.1.1,1.3.2,1.4.11",""
"style_highcontrast_visible","Manual_1","Windows high contrast mode must be supported when using CSS to include, position or alter non-decorative content","Confirm Windows high contrast mode is supported when using CSS to include, position or alter non-decorative content","Violation Manual | Rec Manual","1 | 1","1.1.1,1.3.2,1.4.11 | 1.1.1,1.3.2,1.4.11",""
"figure_label_exists","Pass_0","A <figure> element must have an associated label","Rule Passed","Pass","3","1.1.1",""
"figure_label_exists","Fail_1","A <figure> element must have an associated label","The <figure> element does not have an associated label","Rec","3","1.1.1",""
"embed_alt_exists","Pass_0","Provide alternative content for <embed> elements","Rule Passed","Pass","4","1.1.1",""
"embed_alt_exists","Potential_1","Provide alternative content for <embed> elements","Verify that the <embed> element has alternative content","Rec Potential","4","1.1.1",""
"embed_noembed_exists","Pass_0","<embed> elements should be immediately followed by a non-embedded element","Rule Passed","Pass","4","1.1.1",""
"embed_noembed_exists","Potential_1","<embed> elements should be immediately followed by a non-embedded element","Verify that the <embed> element is immediately followed by a non-embedded element","Rec Potential","4","1.1.1",""
"media_alt_brief","Pass_0","Alternative text in 'alt' attribute should be brief (<150 characters)","Rule Passed","Pass","2","1.1.1",""
"media_alt_brief","Potential_1","Alternative text in 'alt' attribute should be brief (<150 characters)","Text alternative is more than 150 characters","Rec Potential","2","1.1.1",""
"noembed_content_exists","Pass_0","<noembed> elements should contain descriptive text","Rule Passed","Pass","4","1.1.1",""
"noembed_content_exists","Potential_1","<noembed> elements should contain descriptive text","Add descriptive text to the <noembed> element","Rec Potential","4","1.1.1",""
"canvas_content_described","Pass_0","The <canvas> element may not be accessible","Rule Passed","Pass","3","1.1.1,2.1.1,4.1.2",""
"canvas_content_described","Manual_1","The <canvas> element may not be accessible","Verify accessibility of the <canvas> element","Rec Manual","3","1.1.1,2.1.1,4.1.2",""
"img_alt_background","Pass_0","Background images that convey important information must have a text alternative that describes the image","Rule Passed","Pass","2","1.1.1",""
"img_alt_background","Manual_1","Background images that convey important information must have a text alternative that describes the image","Verify important background image information has a text alternative in system high contrast mode","Rec Manual","2","1.1.1",""
"media_audio_transcribed","Manual_1","Audio information should also be available in text form","Provide transcripts for audio files","Rec Manual","3","1.2.1",""
"caption_track_exists","Pass_0","A <video> element must have a text alternative for any meaningful audio content","Rule Passed","Pass","1","1.2.2",""
"caption_track_exists","Potential_1","A <video> element must have a text alternative for any meaningful audio content","Verify that captions are available for any meaningful audio or provide a caption track for the <video> element","Violation Potential","1","1.2.2",""
"media_track_available","Manual_1","Pre-recorded media should have an audio track that describes visual information","Verify availability of a user-selectable audio track with description of visual content","Rec Manual","3","1.2.3,1.2.5",""
"media_live_captioned","Manual_1","Live media (streaming video with audio) should have captions for audio content","Verify captions are provided for live media (streaming video with audio)","Rec Manual","1","1.2.4",""
"media_track_available","Manual_1","Pre-recorded media should have an audio track that describes visual information","Verify availability of a user-selectable audio track with description of visual content","Rec Manual","3","1.2.3,1.2.5",""
"input_checkboxes_grouped","pass_lonenogroup","Related sets of radio buttons or checkboxes should be programmatically grouped","{0} grouping not required for a control of this type","Pass","2","1.3.1",""
"input_checkboxes_grouped","pass_grouped","Related sets of radio buttons or checkboxes should be programmatically grouped","{0} input is grouped with other related controls with the same name","Pass","2","1.3.1",""
"input_checkboxes_grouped","pass_radiononame","Related sets of radio buttons or checkboxes should be programmatically grouped","Radio input is not grouped, but passes because it has no name to group with other radio inputs","Pass","2","1.3.1",""
"input_checkboxes_grouped","fail_controlnamemismatch","Related sets of radio buttons or checkboxes should be programmatically grouped","{0} input found that has the same name, ""{2}"" as a {1} input","Violation","2","1.3.1",""
"input_checkboxes_grouped","fail_notgroupedothergrouped","Related sets of radio buttons or checkboxes should be programmatically grouped","{0} input is not in the group with another {0} with the name ""{1}""","Violation","2","1.3.1",""
"input_checkboxes_grouped","fail_notgroupedothernotgrouped","Related sets of radio buttons or checkboxes should be programmatically grouped","{0} input and others with the name ""{1}"" are not grouped together","Violation","2","1.3.1",""
"input_checkboxes_grouped","fail_notsamegroup","Related sets of radio buttons or checkboxes should be programmatically grouped","{0} input is in a different group than another {0} with the name ""{1}""","Violation","2","1.3.1",""
"input_checkboxes_grouped","potential_lonecheckbox","Related sets of radio buttons or checkboxes should be programmatically grouped","Verify that this ungrouped checkbox input is not related to other checkboxes","Violation Potential","2","1.3.1",""
"input_checkboxes_grouped","potential_unnamedcheckbox","Related sets of radio buttons or checkboxes should be programmatically grouped","Verify that this un-named, ungrouped checkbox input is not related to other checkboxes","Violation Potential","2","1.3.1",""
"table_headers_ref_valid","Pass_0","The 'headers' attribute should refer to a valid cell in the same table","Rule Passed","Pass","2","1.3.1","a25f45:pass"
"table_headers_ref_valid","Fail_1","The 'headers' attribute should refer to a valid cell in the same table","The 'headers' attribute value ""{0}"" does not reference a valid 'id' in this document","Violation","2","1.3.1","a25f45:fail"
"table_headers_ref_valid","Fail_2","The 'headers' attribute should refer to a valid cell in the same table","The 'headers' attribute value ""{0}"" refers to itself","Violation","2","1.3.1","a25f45:fail"
"table_headers_ref_valid","Fail_3","The 'headers' attribute should refer to a valid cell in the same table","The 'headers' attribute value ""{0}"" does not refer to a cell in the same table","Violation","2","1.3.1","a25f45:fail"
"table_headers_ref_valid","Fail_4","The 'headers' attribute should refer to a valid cell in the same table","The 'headers' attribute value ""{0}"" does not refer to a cell indicated with <th> or a role of ""columnheader"" or ""rowheader""","Violation","2","1.3.1","a25f45:fail"
"fieldset_label_valid","Pass_1","Groups with nested inputs must have unique accessible name","Group/Fieldset ""{0}"" with an input has a unique name","Pass","3","1.3.1,3.3.2",""
"fieldset_label_valid","Fail_1","Groups with nested inputs must have unique accessible name","Group/Fieldset does not have an accessible name","Violation","3","1.3.1,3.3.2",""
"fieldset_label_valid","Fail_2","Groups with nested inputs must have unique accessible name","Group/Fieldset ""{0}"" has a duplicate name to another group","Violation","3","1.3.1,3.3.2",""
"table_scope_valid","Pass_0","Value for 'scope' attribute must be ""row"", ""col"", ""rowgroup"", or ""colgroup""","Rule Passed","Pass","2","1.3.1",""
"table_scope_valid","Fail_1","Value for 'scope' attribute must be ""row"", ""col"", ""rowgroup"", or ""colgroup""","Value provided is invalid for the 'scope' attribute","Violation","2","1.3.1",""
"table_scope_valid","Fail_2","Value for 'scope' attribute must be ""row"", ""col"", ""rowgroup"", or ""colgroup""","The 'scope' attribute should only be used on a <th> element","Violation","2","1.3.1",""
"aria_hidden_nontabbable","Pass_0","A hidden element should not contain any tabbable elements","Rule Passed","Pass","2","1.3.1,4.1.2","6cfa84:pass"
"aria_hidden_nontabbable","Fail_1","A hidden element should not contain any tabbable elements","Element ""{0}"" should not be focusable within the subtree of an element with an 'aria-hidden' attribute with value 'true'","Violation","2","1.3.1,4.1.2","6cfa84:fail"
"aria_parent_required","Pass_0","Each element with an implicit or explicit role must be contained within a valid element","Rule Passed","Pass","1","1.3.1","ff89c9:pass"
"aria_parent_required","Fail_1","Each element with an implicit or explicit role must be contained within a valid element","Element with ""{0}"" role is not contained in or owned by an element with one of the following roles: ""{1}""","Violation","1","1.3.1","ff89c9:fail"
"form_label_unique","Pass_0","Form controls should have exactly one label","Rule Passed","Pass","1","1.3.1",""
"form_label_unique","Fail_1","Form controls should have exactly one label","Form control has more than one label","Violation","1","1.3.1",""
"label_ref_valid","pass","The 'for' attribute for a label should reference a non-empty, unique 'id' attribute of a valid element","The 'for' attribute for a label referencea a unique non-empty 'id' attribute of a valid element","Pass","1","1.3.1",""
"label_ref_valid","fail_invalid","The 'for' attribute for a label should reference a non-empty, unique 'id' attribute of a valid element","The value ""{0}"" of the 'for' attribute is not the 'id' of a valid element","Violation","1","1.3.1",""
"table_caption_empty","Pass_0","A <caption> element for a <table> element must contain descriptive text","Rule Passed","Pass","1","1.3.1",""
"table_caption_empty","Fail_1","A <caption> element for a <table> element must contain descriptive text","The <table> element has an empty <caption> element","Violation","1","1.3.1",""
"table_caption_nested","Pass_0","The <caption> element must be nested inside the associated <table> element","Rule Passed","Pass","3","1.3.1",""
"table_caption_nested","Fail_1","The <caption> element must be nested inside the associated <table> element","<caption> element is not nested inside a <table> element","Violation","3","1.3.1",""
"table_headers_exists","Pass_0","Data table must identify headers","Rule Passed","Pass","1","1.3.1",""
"table_headers_exists","Fail_1","Data table must identify headers","Table has no headers identified","Violation","1","1.3.1",""
"table_headers_related","Pass_0","For a complex data table, all <th> and <td> elements must be related via 'header' or 'scope' attributes","Rule Passed","Pass","2","1.3.1",""
"table_headers_related","Fail_1","For a complex data table, all <th> and <td> elements must be related via 'header' or 'scope' attributes","Complex table does not have headers for each cell properly defined with 'header' or 'scope'","Violation","2","1.3.1",""
"table_structure_misuse","Pass_0","Table elements with 'role=""presentation"" or 'role=""none"" should not have structural elements or attributes","Rule Passed","Pass","2","1.3.1",""
"table_structure_misuse","Fail_1","Table elements with 'role=""presentation"" or 'role=""none"" should not have structural elements or attributes","The <{0}> element with ""presentation"" role or ""none"" role has structural element(s) and/or attribute(s) '{1}'","Violation","2","1.3.1",""
"table_summary_redundant","Pass_0","The table summary must not duplicate the caption","Rule Passed","Pass","3","1.3.1",""
"table_summary_redundant","Fail_1","The table summary must not duplicate the caption","The table summary duplicates the caption","Violation","3","1.3.1",""
"blockquote_cite_exists","Pass_0","Use <blockquote> only for quotations, not indentation","Rule Passed","Pass","3","1.3.1",""
"blockquote_cite_exists","Potential_1","Use <blockquote> only for quotations, not indentation","Verify that <blockquote> should have a 'cite' attribute and not be used for indentation only","Violation Potential","3","1.3.1",""
"heading_markup_misuse","Pass_0","Heading elements must not be used for presentation","Rule Passed","Pass","2","1.3.1",""
"heading_markup_misuse","Potential_1","Heading elements must not be used for presentation","Verify that the heading element is a genuine heading","Violation Potential","2","1.3.1",""
"text_quoted_correctly","Pass_0","Quotations should be marked with <q> or <blockquote> elements","Rule Passed","Pass","3","1.3.1",""
"text_quoted_correctly","Potential_1","Quotations should be marked with <q> or <blockquote> elements","If the following text is a quotation, mark it as a <q> or <blockquote> element: {0}","Violation Potential","3","1.3.1",""
"list_markup_review","potential_list","Proper HTML elements should be used to create a list","Verify this is a list and if so, modify to use proper HTML elements for the list","Violation Potential","3","1.3.1",""
"text_block_heading","potential_heading","Heading text should use a heading element or role","Confirm this text '{0}' is used as a heading and if so, modify to use a heading element or role","Violation Potential","1","1.3.1",""
"fieldset_legend_valid","Pass_0"," <fieldset> elements should have a single, non-empty <legend> as a label","Rule Passed","Pass","1","1.3.1",""
"fieldset_legend_valid","Fail_1"," <fieldset> elements should have a single, non-empty <legend> as a label","<fieldset> element does not have a <legend>","Rec","1","1.3.1",""
"fieldset_legend_valid","Fail_2"," <fieldset> elements should have a single, non-empty <legend> as a label","<fieldset> element has more than one <legend>","Rec","1","1.3.1",""
"fieldset_legend_valid","Fail_3"," <fieldset> elements should have a single, non-empty <legend> as a label","<fieldset> element <legend> is empty","Rec","1","1.3.1",""
"aria_child_valid","Pass","An element with an ARIA role must own a required child","An element with an ARIA role owns a required child","Pass","1","1.3.1","bc4a75:pass"
"aria_child_valid","Fail_no_child","An element with an ARIA role must own a required child","The element with role ""{0}"" does not own any child element with any of the following role(s): ""{1}""","Rec","1","1.3.1","bc4a75:fail"
"aria_child_valid","Fail_invalid_child","An element with an ARIA role must own a required child","The element with role ""{0}"" owns the child element with the role ""{1}"" that is not one of the allowed role(s): ""{2}""","Rec","1","1.3.1","bc4a75:fail"
"input_fields_grouped","Pass_0","Groups of logically related input elements should be contained within a <fieldset> element","Rule Passed","Pass","2","1.3.1",""
"input_fields_grouped","Potential_1","Groups of logically related input elements should be contained within a <fieldset> element","Use the <fieldset> element to group logically related input elements","Rec Potential","2","1.3.1",""
"list_structure_proper","Pass_0","List elements should only be used for lists of related items","Rule Passed","Pass","3","1.3.1",""
"list_structure_proper","Potential_1","List elements should only be used for lists of related items","List element is missing or improperly structured","Rec Potential","3","1.3.1",""
"select_options_grouped","Pass_0","Groups of related options within a selection list should be grouped with <optgroup>","Rule Passed","Pass","3","1.3.1",""
"select_options_grouped","Potential_1","Groups of related options within a selection list should be grouped with <optgroup>","Group of related options may need <optgroup>","Rec Potential","3","1.3.1",""
"table_layout_linearized","Pass_0","Avoid using tables to format text documents in columns unless the table can be linearized","Rule Passed","Pass","4","1.3.1",""
"table_layout_linearized","Potential_1","Avoid using tables to format text documents in columns unless the table can be linearized","Verify table is not being used to format text content in columns unless the table can be linearized","Rec Potential","4","1.3.1",""
"dir_attribute_valid","Pass_0","'dir' attribute value must be ""ltr"", ""rtl"", or ""auto""","Rule Passed","Pass","3","1.3.2",""
"dir_attribute_valid","Fail_1","'dir' attribute value must be ""ltr"", ""rtl"", or ""auto""","Invalid value used for the 'dir' attribute","Violation","3","1.3.2",""
"text_whitespace_valid","pass","Space characters should not be used to control spacing within a word","Rule Passed","Pass","3","1.3.2",""
"text_whitespace_valid","potential_text","Space characters should not be used to control spacing within a word","Space characters should not be used to create space between the letters of a word","Violation Potential","3","1.3.2",""
"style_highcontrast_visible","Pass_0","Windows high contrast mode must be supported when using CSS to include, position or alter non-decorative content","Rule Passed","Pass | Pass","1 | 1","1.1.1,1.3.2,1.4.11 | 1.1.1,1.3.2,1.4.11",""
"style_highcontrast_visible","Manual_1","Windows high contrast mode must be supported when using CSS to include, position or alter non-decorative content","Confirm Windows high contrast mode is supported when using CSS to include, position or alter non-decorative content","Violation Manual | Rec Manual","1 | 1","1.1.1,1.3.2,1.4.11 | 1.1.1,1.3.2,1.4.11",""
"text_sensory_misuse","potential_position","Instructions should be meaningful without relying solely on shape, size, or location words","Confirm the word(s) '{0}' of the user instruction is used to indicate a logical rather than visual position","Violation Potential","2","1.3.3",""
"text_sensory_misuse","potential_other","Instructions should be meaningful without relying solely on shape, size, or location words","Confirm the user instruction is still understandable without the word(s) '{0}'","Violation Potential","2","1.3.3",""
"element_orientation_unlocked","pass","Elements should not be restricted to either landscape or portrait orientation using CSS transform property","The element is not restricted to either landscape or portrait orientation using CSS transform property","Pass","2","1.3.4","b33eff:pass"
"element_orientation_unlocked","fail_locked","Elements should not be restricted to either landscape or portrait orientation using CSS transform property","The element <{0}> is restricted to either landscape or portrait orientation using CSS transform property","Violation","2","1.3.4","b33eff:fail"
"input_autocomplete_valid","pass","The 'autocomplete' attribute's token(s) must be appropriate for the input form field","The 'autocomplete' attribute's token(s) is appropriate for the input form field","Pass","3","1.3.5","73f2c2:pass"
"input_autocomplete_valid","fail_inappropriate","The 'autocomplete' attribute's token(s) must be appropriate for the input form field","The 'autocomplete' attribute's token(s) are not appropriate for the input form field","Violation","3","1.3.5","73f2c2:fail"
"input_autocomplete_valid","fail_invalid","The 'autocomplete' attribute's token(s) must be appropriate for the input form field","The 'autocomplete' attribute's token(s) are not appropriate for an input form field of any type","Violation","3","1.3.5","73f2c2:pass"
"input_autocomplete_valid","fail_incorrect","The 'autocomplete' attribute's token(s) must be appropriate for the input form field","The 'autocomplete' attribute has an incorrect value","Violation","3","1.3.5","73f2c2:fail"
"form_font_color","Pass_0","Combine color and descriptive markup to indicate required form fields","Rule Passed","Pass","2","1.4.1",""
"form_font_color","Potential_1","Combine color and descriptive markup to indicate required form fields","Check color is not used as the only visual means to convey which fields are required","Violation Potential","2","1.4.1",""
"style_color_misuse","Pass_0","Combine color and descriptive markup to convey information","Rule Passed","Pass","2","1.4.1",""
"style_color_misuse","Potential_1","Combine color and descriptive markup to convey information","Verify color is not used as the only visual means of conveying information","Violation Potential","2","1.4.1",""
"media_autostart_controllable","Pass_0","Mechanism must be available to pause or stop and control the volume of the audio that plays automatically","Rule Passed","Pass","2","1.4.2",""
"media_autostart_controllable","Potential_1","Mechanism must be available to pause or stop and control the volume of the audio that plays automatically","Verify there is a mechanism to pause or stop and control the volume for the audio that plays automatically","Violation Potential","2","1.4.2",""
"text_contrast_sufficient","pass","The contrast ratio of text with its background must meet WCAG AA requirements","The contrast ratio of text with its background meets WCAG AA requirements","Pass","1","1.4.3","afw4f7:pass"
"text_contrast_sufficient","fail_contrast","The contrast ratio of text with its background must meet WCAG AA requirements","Text contrast of {0} with its background is less than the WCAG AA minimum requirements for text of size {1}px and weight of {2}","Violation","1","1.4.3","afw4f7:fail"
"text_contrast_sufficient","potential_same_color","The contrast ratio of text with its background must meet WCAG AA requirements","The foreground text and its background color are both detected as {3}. Verify the text meets the WCAG AA requirements for minimum contrast","Violation Potential","1","1.4.3","afw4f7:cantTell"
"text_contrast_sufficient","potential_graphic_background","The contrast ratio of text with its background must meet WCAG AA requirements","Verify the contrast ratio of the text against the lightest and the darkest colors of the background meets the WCAG AA minimum requirements for text of size {1}px and weight of {2}","Violation Potential","1","1.4.3","afw4f7:cantTell"
"text_contrast_sufficient","potential_text_shadow","The contrast ratio of text with its background must meet WCAG AA requirements","Verify the contrast ratio of the text with shadow meets the WCAG AA minimum requirements for text of size {1}px and weight of {2}","Violation Potential","1","1.4.3","afw4f7:cantTell"
"style_viewport_resizable","Pass_0","Text must scale up to 200% without loss of content or functionality","Rule Passed","Pass","3","1.4.4,1.4.10",""
"style_viewport_resizable","Potential_1","Text must scale up to 200% without loss of content or functionality","Verify that text sized using viewport units can be resized up to 200%","Violation Potential","3","1.4.4,1.4.10",""
"meta_viewport_zoomable","pass","The 'meta[name=viewport]' should not prevent the browser zooming the content","The 'meta[name=viewport]' does not prevent the browser zooming the content","Pass","3","1.4.4","b4f0c3:pass"
